ISBN,Book Title,Found,Author,Publisher,Language,Stock,Price,Url
9780062641540,The Subtle Art Of Not Giving A F,YES,Mark Manson,Harper Collins,English,Available,169,https://www.snapdeal.com/product/the-subtle-art-of-not/673256894166
9781612680019,Rich Dad Poor Dad,YES,Plata Publishing,Plata Publishing,English,Available,174,https://www.snapdeal.com/product/rich-dad-poor-dad-paperback/623405955519
9781786330895,IKIGAI,YES,Hector Garcia,Random House Uk,English,Available,149,https://www.snapdeal.com/product/ikigai-the-japanese-secret-to/663579775288
9781847941831,Atomic Habits,YES,James Clear,Cornerstone,English,Available,206,https://www.snapdeal.com/product/atomic-habits/659795200935
9780753555194,Zero To One,YES,Peter Thiel With Blake Masters,Virgin Book,English,Available,182,https://www.snapdeal.com/product/zero-to-one/664409285227
